"time","Amm_mgL"
"01/07/2020 00:",NA
"01/07/2020 01:",NA
"01/07/2020 02:",NA
"01/07/2020 03:",NA
"01/07/2020 04:",NA
"01/07/2020 05:",NA
"01/07/2020 06:",NA
"01/07/2020 07:",NA
"01/07/2020 08:",2.95091
"01/07/2020 09:",2.86058
"01/07/2020 10:",NA
"01/07/2020 11:",NA
"01/07/2020 12:",NA
"01/07/2020 13:",NA
"01/07/2020 14:",NA
"01/07/2020 15:",NA
"01/07/2020 16:",NA
"01/07/2020 17:",NA
"01/07/2020 18:",NA
"01/07/2020 19:",NA
"01/07/2020 20:",NA
"01/07/2020 21:",NA
"01/07/2020 22:",NA
"01/07/2020 23:",NA
"02/07/2020 00:",NA
"02/07/2020 01:",NA
"02/07/2020 02:",NA
"02/07/2020 03:",NA
"02/07/2020 04:",NA
"02/07/2020 05:",NA
"02/07/2020 06:",NA
"02/07/2020 07:",NA
"02/07/2020 08:",NA
"02/07/2020 09:",NA
"02/07/2020 10:",NA
"02/07/2020 11:",NA
"02/07/2020 12:",NA
"02/07/2020 13:",NA
"02/07/2020 14:",NA
"02/07/2020 15:",NA
"02/07/2020 16:",NA
"02/07/2020 17:",NA
"02/07/2020 18:",NA
"02/07/2020 19:",NA
"02/07/2020 20:",NA
"02/07/2020 21:",NA
"02/07/2020 22:",NA
"02/07/2020 23:",NA
"03/07/2020 00:",NA
"03/07/2020 01:",NA
"03/07/2020 02:",NA
"03/07/2020 03:",NA
"03/07/2020 04:",NA
"03/07/2020 05:",NA
"03/07/2020 06:",NA
"03/07/2020 07:",NA
"03/07/2020 08:",2.88327
"03/07/2020 09:",2.85188
"03/07/2020 10:",2.99384
"03/07/2020 11:",NA
"03/07/2020 12:",NA
"03/07/2020 13:",NA
"03/07/2020 14:",NA
"03/07/2020 15:",NA
"03/07/2020 16:",1.63102
"03/07/2020 17:",1.69915
"03/07/2020 18:",1.62729
"03/07/2020 19:",1.72635
"03/07/2020 20:",1.61162
"03/07/2020 21:",1.56021
"03/07/2020 22:",1.38739
"03/07/2020 23:",1.20699
"04/07/2020 00:",1.07637
"04/07/2020 01:",0.860262
"04/07/2020 02:",0.686373
"04/07/2020 03:",0.509498
"04/07/2020 04:",0.398113
"04/07/2020 05:",0.244667
"04/07/2020 06:",0.176917
"04/07/2020 07:",0.191945
"04/07/2020 08:",0.131332
"04/07/2020 09:",0.105113
"04/07/2020 10:",0.230443
"04/07/2020 11:",0.375537
