"campagna","MedianWeight","MeanWeight","TemperatureC","DOmgL","pH","Year","Monthnumber","Week","Dayofmonth","Hour","SpConducibilitymicroScm","DOoutmgLTARGET","pHout","ConducibilitymicroScm","DOsat","DOlocal","SpConducibilitymicroScmOUT","Tagliag","Biomassakg","quantomangimekg","timestamped"
"2",67,67,7.266,10.87,7.62,2019,11,46,15,0,176.33684640522856,10.13,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_0.0"
"2",67,67,7.266,10.87,7.62,2019,11,46,15,0,176.33684640522856,10.13,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_0.0"
"2",45,42,7.286,10.77,7.6,2019,11,46,15,3,176.33684640522856,10.19,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_3.0"
"2",45,42,7.286,10.77,7.6,2019,11,46,15,3,176.33684640522856,10.19,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_3.0"
"2",77,77,7.223,10.71,7.59,2019,11,46,15,4,176.33684640522856,10.04,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_4.0"
"2",77,77,7.223,10.71,7.59,2019,11,46,15,4,176.33684640522856,10.04,7.5,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_4.0"
"2",46,46,6.963,11.04,7.6,2019,11,46,15,6,176.33684640522856,10.35,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_6.0"
"2",46,46,6.963,11.04,7.6,2019,11,46,15,6,176.33684640522856,10.35,7.51,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_6.0"
"2",58,58,6.864,10.97,7.58,2019,11,46,15,7,176.33684640522856,9.99,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_7.0"
"2",58,58,6.864,10.97,7.58,2019,11,46,15,7,176.33684640522856,9.99,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_7.0"
"2",69,69.6,6.797,10.77,7.56,2019,11,46,15,8,176.33684640522856,9.86,7.45,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_8.0"
"2",69,69.6,6.797,10.77,7.56,2019,11,46,15,8,176.33684640522856,9.86,7.45,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_8.0"
"2",65,85.12499999999999,8.581,6.62,7.38,2019,11,46,15,9,176.33684640522856,5.26,7.28,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_9.0"
"2",65,85.12499999999999,8.581,6.62,7.38,2019,11,46,15,9,176.33684640522856,5.26,7.28,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_9.0"
"2",67.5,64.25,6.875,10.33,7.5,2019,11,46,15,10,176.33684640522856,9.26,7.38,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_10.0"
"2",67.5,64.25,6.875,10.33,7.5,2019,11,46,15,10,176.33684640522856,9.26,7.38,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_10.0"
"2",64,61.4,6.82,10.6,7.52,2019,11,46,15,11,176.33684640522856,8.94,7.37,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.898,0,"2019.0_46.0_15.0_11.0"
"2",64,61.4,6.82,10.6,7.52,2019,11,46,15,11,176.33684640522856,8.94,7.37,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4592,0,"2019.0_46.0_15.0_11.0"
"2",41.5,41.5,6.769,11.56,7.54,2019,11,46,16,0,176.33684640522856,11.03,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,78.99,5.895,0,"2019.0_46.0_16.0_0.0"
"2",41.5,41.5,6.769,11.56,7.54,2019,11,46,16,0,176.33684640522856,11.03,7.47,138.4962121212119,110.59339826839778,110.59339826839778,177.80805369127543,46.41,4589,0,"2019.0_46.0_16.0_0.0"
