observed_timestamp,PREORE_FEM_EXIT-Cond [ÂµS/cm],PREORE_FEM_EXIT-NH3 [mg/L],PREORE_FEM_EXIT-NH4+ [mg/L],PREORE_FEM_EXIT-NO3 -N [mg/L],PREORE_FEM_EXIT-ODO [mg/L],PREORE_FEM_EXIT-pH,PREORE_FEM_EXIT-Sal [psu],PREORE_FEM_EXIT-Temp [Â°C],PREORE_FEM_EXIT-Depth [m]
2019-06-30 22:00:00+00:00,75.5,0.0,0.5,0.62,8.29,6.98,0.04,17.476,0.061
2019-06-30 23:00:00+00:00,65.9,0.0,0.55,0.53,8.65,6.93,0.04,16.672,0.067
2019-07-01 00:00:00+00:00,61.1,0.0,0.51,0.51,9.01,6.91,0.03,15.95,0.066
2019-07-01 01:00:00+00:00,59.3,0.0,0.49,0.49,9.25,6.9,0.03,15.344,0.06
2019-07-01 02:00:00+00:00,59.2,0.0,0.45,0.5,9.32,6.9,0.03,14.833,0.055
2019-07-01 03:00:00+00:00,59.6,0.0,0.42,0.52,9.62,6.92,0.03,14.364,0.0559999999999999
2019-07-01 04:00:00+00:00,61.3,0.0,0.4,0.54,9.55,6.92,0.04,13.963,0.0559999999999999
2019-07-01 05:00:00+00:00,64.0,0.0,0.38,0.58,9.57,6.92,0.04,13.715,0.062
2019-07-01 06:00:00+00:00,67.5,0.0,0.37,0.62,9.21,6.91,0.04,13.6,0.062
2019-07-01 07:00:00+00:00,72.1,0.0,0.43,0.65,6.04,6.57,0.04,13.709,0.048
2019-07-01 08:00:00+00:00,75.0,0.0,0.31,0.72,9.18,6.96,0.04,13.95,0.047
2019-07-01 09:00:00+00:00,78.8,0.0,0.31,0.77,9.54,7.08,0.05,14.31,0.04
2019-07-01 10:00:00+00:00,83.6,0.0,0.33,0.8,9.21,7.08,0.05,14.914,0.032
2019-07-01 11:00:00+00:00,89.2,0.0,0.32,0.83,9.26,7.16,0.05,15.836,0.026
2019-07-01 12:00:00+00:00,95.1,0.0,0.36,0.86,8.93,7.19,0.05,16.782,0.02
2019-07-01 13:00:00+00:00,102.5,0.0,0.38,0.89,8.53,7.18,0.06,17.771,0.008
2019-07-01 14:00:00+00:00,107.1,0.0,0.41,0.9,8.19,7.2,0.06,18.355,0.005
2019-07-01 15:00:00+00:00,112.0,0.0,0.44,0.93,7.92,7.2,0.06,19.069000000000003,0.005
2019-07-01 16:00:00+00:00,116.0,0.0,0.48,0.92,7.59,7.19,0.06,19.208,0.0069999999999999
2019-07-01 17:00:00+00:00,121.4,0.0,0.52,0.94,7.59,7.22,0.06,19.175,0.015
2019-07-01 18:00:00+00:00,122.4,0.0,0.58,0.94,7.37,7.21,0.07,18.792,0.031
2019-07-01 19:00:00+00:00,120.1,0.0,0.63,0.92,7.55,7.18,0.06,18.357,0.043
2019-07-01 20:00:00+00:00,115.9,0.0,0.62,0.91,7.49,7.15,0.06,17.995,0.048
2019-07-01 21:00:00+00:00,106.8,0.0,0.77,0.9,8.02,7.15,0.06,17.695999999999998,0.052
2019-07-01 22:00:00+00:00,91.7,0.0,0.55,0.74,8.39,7.09,0.05,16.985,0.052
2019-07-01 23:00:00+00:00,79.9,0.0,0.55,0.65,8.58,7.02,0.04,16.266,0.057
2019-07-02 00:00:00+00:00,71.3,0.0,0.53,0.58,9.06,6.99,0.04,15.459,0.0559999999999999
2019-07-02 01:00:00+00:00,68.7,0.0,0.49,0.58,9.26,6.98,0.04,14.883,0.049
2019-07-02 02:00:00+00:00,67.6,0.0,0.46,0.58,9.53,6.98,0.04,14.286,0.047
2019-07-02 03:00:00+00:00,67.8,0.0,0.42,0.59,9.72,7.0,0.04,13.798,0.039
2019-07-02 04:00:00+00:00,68.9,0.0,0.42,0.61,9.45,6.97,0.04,13.437,0.038
2019-07-02 05:00:00+00:00,71.8,0.0,0.4,0.66,9.49,6.97,0.04,13.2,0.042
2019-07-02 06:00:00+00:00,75.4,0.0,0.42,0.67,9.2,6.94,0.05,13.159,0.044
2019-07-02 07:00:00+00:00,79.8,0.0,0.39,0.74,9.24,6.98,0.05,13.249,0.011
2019-07-02 08:00:00+00:00,84.9,0.0,0.31,0.81,9.55,7.06,0.05,13.579,-0.001
2019-07-02 09:00:00+00:00,89.4,0.0,0.31,0.82,9.84,7.17,0.05,13.72,-0.005
2019-07-02 10:00:00+00:00,94.4,0.0,0.31,0.85,10.01,7.25,0.06,13.883,-0.0069999999999999
2019-07-02 11:00:00+00:00,99.8,0.0,0.32,0.91,9.45,7.21,0.06,14.313,-0.011
2019-07-02 12:00:00+00:00,106.4,0.0,0.3,0.98,9.59,7.29,0.06,15.205,0.021
2019-07-02 13:00:00+00:00,112.4,0.0,0.31,1.01,9.64,7.34,0.06,16.108,0.025
2019-07-02 14:00:00+00:00,119.8,0.0,0.32,1.05,9.19,7.39,0.07,17.14,0.038
2019-07-02 15:00:00+00:00,125.7,0.0,0.34,1.07,8.92,7.41,0.07,17.812,0.043
2019-07-02 16:00:00+00:00,129.7,0.0,0.37,1.07,8.57,7.39,0.07,17.829,0.048
2019-07-02 17:00:00+00:00,132.6,0.0,0.39,1.06,8.37,7.37,0.07,17.701,0.077
2019-07-02 18:00:00+00:00,130.6,0.0,0.47,1.0,8.13,7.32,0.07,17.236,0.105
2019-07-02 19:00:00+00:00,132.2,0.0,0.56,1.11,8.24,7.21,0.07,17.199,0.1119999999999999
2019-07-02 20:00:00+00:00,124.0,0.0,0.59,1.19,8.49,7.32,0.07,17.430999999999997,0.105
2019-07-02 21:00:00+00:00,129.7,0.01,0.85,1.23,8.58,7.29,0.07,16.737000000000002,0.127
2019-07-02 22:00:00+00:00,130.8,0.0,0.62,1.21,8.82,7.32,0.07,16.45,0.132
2019-07-02 23:00:00+00:00,113.8,0.0,0.52,1.13,8.82,7.25,0.06,16.21,0.124
2019-07-03 00:00:00+00:00,81.4,0.0,0.54,0.76,9.48,7.15,0.05,14.863,0.123
2019-07-03 01:00:00+00:00,80.7,0.0,0.46,0.78,9.73,7.14,0.05,14.311,0.128
2019-07-03 02:00:00+00:00,80.4,0.0,0.38,0.8,9.85,7.11,0.05,13.969,0.125
2019-07-03 03:00:00+00:00,80.8,0.0,0.36,0.83,9.87,7.06,0.05,13.811,0.121
2019-07-03 04:00:00+00:00,80.5,0.0,0.33,0.82,9.66,6.89,0.05,13.582,0.125
2019-07-03 05:00:00+00:00,80.8,0.0,0.32,0.81,9.43,6.8,0.05,13.380999999999998,0.121
2019-07-03 06:00:00+00:00,80.9,0.0,0.31,0.8,9.26,6.76,0.05,13.242,0.124
2019-07-03 07:00:00+00:00,81.9,0.0,0.31,0.78,8.42,6.62,0.05,13.261,0.118
2019-07-03 08:00:00+00:00,82.6,0.0,0.26,0.79,9.69,6.79,0.05,13.344,0.13
2019-07-03 09:00:00+00:00,84.2,0.0,0.26,0.82,9.8,6.85,0.05,13.549,0.114
2019-07-03 10:00:00+00:00,86.9,0.0,0.24,0.86,10.08,6.97,0.05,13.795,0.107
2019-07-03 11:00:00+00:00,89.9,0.0,0.24,0.89,10.12,7.01,0.05,14.273,0.102
2019-07-03 12:00:00+00:00,94.5,0.0,0.26,0.88,9.79,7.03,0.06,14.587,0.106
2019-07-03 13:00:00+00:00,102.3,0.0,0.27,0.92,9.79,7.08,0.06,14.948,0.113
2019-07-03 14:00:00+00:00,110.1,0.0,0.34,1.03,9.29,7.08,0.06,15.576,0.122
2019-07-03 15:00:00+00:00,120.1,0.0,0.33,1.03,9.48,7.11,0.07,15.312,0.124
2019-07-03 16:00:00+00:00,125.1,0.0,0.38,1.06,9.64,7.2,0.07,15.197,0.124
2019-07-03 17:00:00+00:00,129.7,0.0,0.37,1.09,9.66,7.2,0.08,15.114,0.1159999999999999
2019-07-03 18:00:00+00:00,131.9,0.0,0.44,1.09,9.71,7.21,0.08,14.955,0.119
2019-07-03 19:00:00+00:00,132.7,0.0,0.44,1.12,9.62,7.22,0.08,14.904000000000002,0.1119999999999999
