Unnamed: 0,Entrance_timestamp,PREORE_FEM_ENTRANCE-Cond [ÂµS/cm],PREORE_FEM_ENTRANCE-Depth [m],PREORE_FEM_ENTRANCE-NH3 [mg/L],PREORE_FEM_ENTRANCE-NH4+ [mg/L],PREORE_FEM_ENTRANCE-NO3 -N [mg/L],PREORE_FEM_ENTRANCE-ODO [mg/L],PREORE_FEM_ENTRANCE-pH,PREORE_FEM_ENTRANCE-Sal [psu],PREORE_FEM_ENTRANCE-Temp [Â°C],index,Exit_timestamp,PREORE_FEM_EXIT-Cond [ÂµS/cm],PREORE_FEM_EXIT-NH3 [mg/L],PREORE_FEM_EXIT-NH4+ [mg/L],PREORE_FEM_EXIT-NO3 -N [mg/L],PREORE_FEM_EXIT-ODO [mg/L],PREORE_FEM_EXIT-pH,PREORE_FEM_EXIT-Sal [psu],PREORE_FEM_EXIT-Temp [Â°C],PREORE_FEM_EXIT-Depth [m],Fish_Weight,Energy_Acquisition(A),Catabolic_component(C),Somatic_tissue_energy_content(Epsilon),Dynamic_individual_weight,observed_timestamp,PREORE_VAKI-CF,PREORE_VAKI-Length [mm],PREORE_VAKI-Weight [g]
61,2019-07-03 13:00:18+00:00,105.0,-0.142,0.01,0.2,0.93,9.24,7.94,0.06,15.51,62,2019-07-03 14:00:00+00:00,110.1,0.0,0.34,1.03,9.29,7.08,0.06,15.576,0.122,1158.1873941152269,55.37198940910956,28.761046441179527,1146.8092206823214,0.02320433293350852,2019-07-03 13:00:21+00:00,1.4,411.0,974.0
62,2019-07-03 14:00:18+00:00,116.9,-0.1119999999999999,0.0,0.19,0.97,9.29,7.94,0.07,15.127,63,2019-07-03 15:00:00+00:00,120.1,0.0,0.33,1.03,9.48,7.11,0.07,15.312,0.124,1158.2105984481605,55.07539932754021,28.108216966502056,1146.8320815911275,0.023514499458040614,2019-07-03 14:00:34+00:00,1.34,420.0,996.0
63,2019-07-03 15:00:18+00:00,123.4,-0.118,0.01,0.17,1.01,9.46,8.02,0.07,15.113,64,2019-07-03 16:00:00+00:00,125.1,0.0,0.38,1.06,9.64,7.2,0.07,15.197,0.124,1158.2341129476185,55.06233638934409,28.08518616424208,1146.8552480759936,0.023522715940272203,2019-07-03 15:00:15+00:00,1.34,439.0,1137.0
64,2019-07-03 16:00:18+00:00,127.7,-0.126,0.01,0.19,1.02,9.4,8.02,0.07,14.99,65,2019-07-03 17:00:00+00:00,129.7,0.0,0.37,1.09,9.66,7.2,0.08,15.114,0.1159999999999999,1158.2576356635589,54.93403009085758,27.87924662523701,1146.8784226557382,0.0235899315316892,2019-07-03 16:00:32+00:00,1.31,376.0,700.0
65,2019-07-03 17:00:18+00:00,130.2,-0.126,0.01,0.2,1.03,9.37,7.99,0.08,14.88,66,2019-07-03 18:00:00+00:00,131.9,0.0,0.44,1.09,9.71,7.21,0.08,14.955,0.119,1158.2812255950905,54.80698006528789,27.69641354799251,1146.9016634562831,0.023638091547967106,2019-07-03 17:00:18+00:00,1.3,437.0,1087.0
66,2019-07-03 18:00:18+00:00,131.3,-0.125,0.01,0.2,1.06,9.42,8.02,0.08,14.889,67,2019-07-03 19:00:00+00:00,132.7,0.0,0.44,1.12,9.62,7.22,0.08,14.904000000000002,0.1119999999999999,1158.3048636866386,54.818531407729395,27.711939181213463,1146.9249517040762,0.023634146407087532,2019-07-03 18:00:23+00:00,1.34,442.0,1157.0
67,2019-07-03 19:00:18+00:00,132.3,-0.119,0.01,0.21,1.06,9.36,7.99,0.08,14.734000000000002,68,2019-07-03 20:00:00+00:00,133.2,0.0,0.43,1.12,9.66,7.19,0.08,14.722,0.124,1158.3284978330457,54.62135299206666,27.455973045681812,1146.9482360651166,0.023684922381137494,2019-07-03 18:59:39+00:00,1.36,409.0,926.0
68,2019-07-03 20:00:18+00:00,131.3,-0.106,0.01,0.22,1.07,9.34,7.95,0.08,14.515,69,2019-07-03 21:00:00+00:00,132.2,0.0,0.55,1.25,9.76,7.18,0.08,14.537,0.143,1158.3521827554268,54.30584780383098,27.098115558159602,1146.9715704506464,0.023721365853018858,2019-07-03 20:00:20+00:00,1.33,451.0,1225.0
69,2019-07-03 21:00:18+00:00,129.8,-0.089,0.0,0.21,1.08,9.34,7.92,0.08,14.384,70,2019-07-03 22:00:00+00:00,131.1,0.0,0.4,1.14,9.95,7.18,0.08,14.347,0.131,1158.3759041212797,54.097833634175316,26.886509821752504,1146.9949407402846,0.02372401380851801,2019-07-03 21:00:23+00:00,1.38,398.0,870.0
70,2019-07-03 22:00:18+00:00,126.4,-0.104,0.0,0.22,1.08,9.41,7.9,0.08,14.15,71,2019-07-03 23:00:00+00:00,127.2,0.0,0.39,1.11,9.85,7.17,0.08,14.125,0.131,1158.3996281350883,53.691324781001704,26.51220379107859,1147.0183136386888,0.023695455135064693,2019-07-03 21:59:25+00:00,1.48,431.0,1187.0
71,2019-07-03 23:00:18+00:00,125.8,-0.095,0.0,0.21,1.08,9.42,7.88,0.08,13.947,72,2019-07-04 00:00:00+00:00,127.9,0.0,0.38,1.11,10.07,7.16,0.08,13.909,0.124,1158.4233235902234,53.304990631801495,26.19177951412036,1147.041658401088,0.023637512133147316,2019-07-03 23:00:05+00:00,1.34,404.0,884.0
72,2019-07-04 00:00:18+00:00,126.7,-0.104,0.0,0.22,1.11,9.48,7.89,0.08,13.758,73,2019-07-04 01:00:00+00:00,127.6,0.0,0.38,1.13,10.09,7.17,0.08,13.691,0.125,1158.4469611023565,52.918922965953975,25.896970874758345,1147.0649460780414,0.02355747351846734,2019-07-04 00:00:18+00:00,1.14,503.0,1449.0
73,2019-07-04 01:00:18+00:00,126.0,-0.1,0.0,0.21,1.11,9.54,7.89,0.08,13.521,74,2019-07-04 02:00:00+00:00,127.4,0.0,0.37,1.12,10.14,7.17,0.08,13.483,0.12,1158.4705185758748,52.401002044982924,25.531841064178913,1147.0881549009518,0.023423797783984696,2019-07-04 01:00:33+00:00,1.15,367.0,570.0
74,2019-07-04 02:00:18+00:00,123.7,-0.105,0.0,0.2,1.11,9.62,7.89,0.08,13.281,75,2019-07-04 03:00:00+00:00,124.3,0.0,0.36,1.1,10.17,7.15,0.08,13.26,0.126,1158.493942373659,51.84112559725812,25.1673258961668,1147.1112320265286,0.023253019372819157,2019-07-04 02:00:22+00:00,1.29,456.0,1220.0
75,2019-07-04 03:00:18+00:00,120.9,-0.108,0.0,0.18,1.1,9.68,7.87,0.07,13.024,76,2019-07-04 04:00:00+00:00,121.9,0.0,0.34,1.09,9.89,7.1,0.07,13.012,0.127,1158.5171953930317,51.20532605621246,24.782719931615766,1147.1341409012148,0.02303358010410055,2019-07-04 03:00:04+00:00,1.35,423.0,1027.0
76,2019-07-04 04:00:18+00:00,117.9,-0.1119999999999999,0.0,0.17,1.07,9.75,7.86,0.07,12.789,77,2019-07-04 05:00:00+00:00,119.0,0.0,0.33,1.09,9.65,7.05,0.07,12.829,0.135,1158.5402289731358,50.59405342499316,24.43622139903583,1147.1568335843333,0.022802315481333303,2019-07-04 04:00:02+00:00,1.41,463.0,1397.0
77,2019-07-04 05:00:18+00:00,114.7,-0.106,0.0,0.16,1.07,9.87,7.86,0.07,12.545,78,2019-07-04 06:00:00+00:00,116.1,0.0,0.31,1.07,9.93,7.06,0.07,12.722,0.139,1158.5630312886171,49.931835841477266,24.081555050213147,1147.1792984255455,0.02253377551943495,2019-07-04 05:00:20+00:00,1.38,435.0,1132.0
78,2019-07-04 06:00:18+00:00,112.8,-0.113,0.0,0.15,1.08,10.01,7.91,0.07,12.484000000000002,79,2019-07-04 07:00:00+00:00,114.9,0.0,0.29,1.02,9.95,7.06,0.07,12.83,0.138,1158.5855650641365,49.762648905828996,23.994044324951826,1147.2014987011871,0.022462143407283978,2019-07-04 06:00:18+00:00,1.32,456.0,1248.0
79,2019-07-04 07:00:18+00:00,114.4,-0.107,0.0,0.16,1.09,10.1,7.97,0.07,12.653,80,2019-07-04 08:00:00+00:00,115.9,0.0,0.27,1.15,10.16,7.16,0.07,13.137,0.134,1158.6080272075437,50.22966759471184,24.23905157022304,1147.223628404872,0.022655230750979905,2019-07-04 07:00:18+00:00,1.22,359.0,567.0
80,2019-07-04 08:00:18+00:00,115.0,-0.109,0.0,0.16,1.1,10.1,8.01,0.07,12.970999999999998,81,2019-07-04 09:00:00+00:00,117.6,0.0,0.27,1.21,10.3,7.3,0.07,13.549,0.123,1158.6306824382948,51.07272925219149,24.706456035570653,1147.2459483382079,0.022982232584750056,2019-07-04 08:00:18+00:00,1.36,436.0,1121.0
81,2019-07-04 09:00:18+00:00,117.7,-0.114,0.0,0.16,1.14,10.05,8.06,0.07,13.543,82,2019-07-04 10:00:00+00:00,120.8,0.0,0.26,1.25,10.4,7.43,0.07,14.23,0.12,1158.6536646708796,52.45561977825985,25.56960708477425,1147.2685904337504,0.023434802379903686,2019-07-04 09:00:21+00:00,1.39,438.0,1165.0
