observed_timestamp,PREORE_FEM_ENTRANCE-Cond [ÂµS/cm],PREORE_FEM_ENTRANCE-Depth [m],PREORE_FEM_ENTRANCE-NH3 [mg/L],PREORE_FEM_ENTRANCE-NH4+ [mg/L],PREORE_FEM_ENTRANCE-NO3 -N [mg/L],PREORE_FEM_ENTRANCE-ODO [mg/L],PREORE_FEM_ENTRANCE-pH,PREORE_FEM_ENTRANCE-Sal [psu],PREORE_FEM_ENTRANCE-Temp [Â°C]
2019-06-30 22:00:18+00:00,66.0,-0.091,0.0,0.15,0.49,8.95,7.62,0.04,16.819000000000003
2019-06-30 23:00:18+00:00,59.4,-0.079,0.0,0.15,0.43,9.16,7.55,0.03,15.951
2019-07-01 00:00:18+00:00,57.9,-0.077,0.0,0.13,0.45,9.24,7.53,0.03,15.468
2019-07-01 01:00:18+00:00,57.4,-0.089,0.0,0.13,0.45,9.39,7.52,0.03,14.844
2019-07-01 02:00:18+00:00,57.9,-0.089,0.0,0.15,0.47,9.48,7.52,0.03,14.388
2019-07-01 03:00:18+00:00,59.5,-0.095,0.0,0.14,0.48,9.58,7.54,0.03,13.929
2019-07-01 04:00:18+00:00,62.2,-0.096,0.0,0.15,0.51,9.63,7.55,0.04,13.63
2019-07-01 05:00:18+00:00,65.2,-0.093,0.0,0.13,0.54,9.71,7.59,0.04,13.405
2019-07-01 06:00:18+00:00,68.5,-0.1,0.0,0.13,0.58,9.79,7.64,0.04,13.323
2019-07-01 07:00:18+00:00,72.2,-0.109,0.0,0.13,0.62,9.85,7.72,0.04,13.43
2019-07-01 08:00:18+00:00,75.7,-0.11,0.0,0.15,0.65,9.89,7.79,0.05,13.671
2019-07-01 09:00:18+00:00,80.6,-0.121,0.0,0.14,0.67,9.82,7.87,0.05,14.142
2019-07-01 10:00:18+00:00,84.9,-0.129,0.0,0.14,0.7,9.78,7.95,0.05,14.898
2019-07-01 11:00:18+00:00,92.4,-0.135,0.0,0.15,0.72,9.48,7.97,0.05,15.942
2019-07-01 12:00:18+00:00,98.8,-0.145,0.01,0.17,0.73,9.28,8.02,0.05,16.999000000000002
2019-07-01 13:00:18+00:00,103.6,-0.161,0.01,0.15,0.72,9.19,8.08,0.06,17.741
2019-07-01 14:00:18+00:00,108.3,-0.168,0.01,0.15,0.74,8.96,8.08,0.06,18.516
2019-07-01 15:00:18+00:00,113.1,-0.17,0.01,0.18,0.73,8.84,8.1,0.06,19.041
2019-07-01 16:00:18+00:00,118.7,-0.172,0.01,0.19,0.71,8.69,8.06,0.06,19.025
2019-07-01 17:00:18+00:00,120.9,-0.171,0.01,0.19,0.74,8.73,8.05,0.06,18.853
2019-07-01 18:00:18+00:00,119.0,-0.144,0.01,0.21,0.74,8.7,8.0,0.06,18.431
2019-07-01 19:00:18+00:00,114.4,-0.119,0.01,0.22,0.72,8.72,7.95,0.06,18.031
2019-07-01 20:00:18+00:00,108.8,-0.111,0.01,0.2,0.73,8.7,7.9,0.06,17.828
2019-07-01 21:00:18+00:00,92.8,-0.1009999999999999,0.0,0.19,0.63,8.84,7.82,0.05,17.154
2019-07-01 22:00:18+00:00,78.1,-0.102,0.0,0.18,0.53,9.04,7.73,0.04,16.305
2019-07-01 23:00:18+00:00,69.6,-0.092,0.0,0.2,0.52,9.21,7.66,0.04,15.519
