Feature,Mean_Abs_SHAP
PREORE_FEM_ENTRANCE-pH,5.963633623255871e-05
Feed_ration,5.5022869925687986e-05
Feed_ration_3d,5.309277294260549e-05
PREORE_FEM_ENTRANCE-Temp [Â°C],4.7921497287746935e-05
Energy_Acquisition(A),3.8386625168229604e-05
Somatic_tissue_energy_content(Epsilon),3.445951340880446e-05
Catabolic_component(C),2.2783603355789615e-05
PREORE_FEM_ENTRANCE-ODO [mg/L],1.849804986608332e-05
PREORE_FEM_ENTRANCE-Sal [psu],8.36849081031898e-06
PREORE_FEM_ENTRANCE-NH4+ [mg/L],5.154364383777453e-06
PREORE_FEM_ENTRANCE-NO3 -N [mg/L],0.0
PREORE_FEM_ENTRANCE-Cond [ÂµS/cm],0.0
